orcid,put_code,title,type,publication_date,journal,doi,url,authors,cited_by,FWCI,logo
0000-0002-7830-2776,224678080,Candida auris uses nutrient sensing to modulate virulence and host immune responses,journal-article,24/08/26,Nature Microbiology,10.1038/s41564-026-02454-9,https://doi.org/10.1038/s41564-026-02454-9,Irma Tedja; Harshini Weerasinghe; Garrett Bryak; Helen Stölting; Tricia L. Lo; Claudia Simm; Angavai Swaminathan; Calvin A. Kraupner-Taylor; Paul F. Harrison; Françios A. B. Olivier; Michael J. McDonald; Shankar Thangamani; Traude H. Beilharz; Ana Traven,0,0,nature-microbiology-Logo.png
0000-0002-7830-2776,217311119,Infection-induced glucose starvation triggers NINJ1-dependent macrophage lysis and Candida escape,journal-article,10/06/26,Nature Communications,10.1038/s41467-026-74195-6,https://doi.org/10.1038/s41467-026-74195-6,Harshini Weerasinghe; Orawan Tulyaprawat; Helen Stölting; Johannes Sonnberger; Byron Mobbs; Joshua Nickson; Theresa Lange; Bryce van Denderen; Tricia L. Lo; Tim Bastian Schille; Françios A. B. Olivier; Natasha Kapoor-Kaushik; Timothy A. Gottschalk; Cathrine Hall; John Silke; James E. Vince; Kate E. Lawlor; Stefan Bröer; Kate Schroder; Sabrina Sofia Burgener; Bernhard Hube; Thomas Naderer; Adam J. Rose; Ana Traven,1,6.4772,Nature_Communications_Logo.svg
0000-0002-7830-2776,195153572,Protective Role for Itaconate During Inhaled Allergen Challenge,journal-article,2026-04,Allergy,10.1111/all.70107,https://doi.org/10.1111/all.70107,Gesa J. Albers; Patricia P. Ogger; Christina Michalaki; Helen Stölting; Simone A. Walker; Anna Caldwell; John M. Halket; Kathryn Duvall; Atia Batool; Lisha Joshi; Helen O'Brien; Cormac McCarthy; Timothy Hinks; Gail M. Gauvreau; Paul M. O'Byrne; Clare M. Lloyd; Adam J. Byrne,1,0.5646,Allergy.png
0000-0002-7830-2776,203411224,Epidermal growth factor receptor controls sex differences in lung type 2 responses to inhaled allergen,journal-article,23/01/26,Science Immunology,10.1126/sciimmunol.adk1673,https://doi.org/10.1126/sciimmunol.adk1673,Helen Stölting; April L. Raftery; Simone A. Walker; Eimear N. Rutherford; Mindy L. Gore; Yue Huang; Franz Puttur; Laura Yates; Sejal Saglani; Clare M. Lloyd,4,11.8694,Science Immunology.png
0000-0002-7830-2776,192462426,Epithelial cell-derived lumican modulates extracellular matrix dynamics in early-life airways disease,journal-article,2025-09,Journal of Allergy and Clinical Immunology,10.1016/j.jaci.2025.08.030,http://dx.doi.org/10.1016/j.jaci.2025.08.030,Franz Puttur; William J. Traves; Minerva G. Martin; Samuele Di Carmine; Frédéric Fercoq; David C.A. Gaboriau; Lewis J. Entwistle; Laura Yates; Régis Joulia; Sara Patti; Helen Stoelting; Ciara Campbell; Mindy L. Gore; Simone A. Walker; Lola E. Loewenthal; Philip L. Molyneaux; Leo M. Carlin; Sejal Saglani; Clare M. Lloyd,4,2.1664,JACI.png
0000-0002-7830-2776,187650289,Infection-induced glucose starvation triggers NINJ1-dependent macrophage lysis and pathogen escape,preprint,10/07/25,Research Square,10.21203/rs.3.rs-7015602/v1,https://doi.org/10.21203/rs.3.rs-7015602/v1,Harshini Weerasinghe; Orawan Tulyaprawat; Helen Stölting; Johannes Sonnberger; Joshua Nickson; Theresa Lange; Bryce van Denderen; Tricia L. Lo; Tim Bastian Schille; Françios A.B. Olivier; Cathrine Hall; John Silke; James E. Vince; Kate E. Lawlor; Stefan Bröer; Bernhard Hube; Thomas Naderer; Adam J. Rose; Ana Traven,NA,NA,Research Square.png
0000-0002-7830-2776,172244382,Variable glucagon metabolic actions in diverse mouse models of obesity and type 2 diabetes,journal-article,2024-12,Molecular Metabolism,10.1016/j.molmet.2024.102064,http://dx.doi.org/10.1016/j.molmet.2024.102064,Yuqin Wu; Andrea Y. Chan; Jana Hauke; Okka Htin Aung; Ashish Foollee; Maria Almira S. Cleofe; Helen Stölting; Mei-Ling Han; Katherine J. Jeppe; Christopher K. Barlow; Jürgen G. Okun; Patricia M. Rusu; Adam J. Rose,7,1.7619,Molecular Metabolism.png
0000-0002-7830-2776,166806594,"Metabolic homeostasis in fungal infections from the perspective of pathogens, immune cells, and whole-body systems",journal-article,26/09/24,Microbiology and Molecular Biology Reviews,10.1128/mmbr.00171-22,https://doi.org/10.1128/mmbr.00171-22,Harshini Weerasinghe*; Helen Stölting*; Adam J. Rose; Ana Traven;*shared first,21,6.0672,MMBR.png
0000-0002-7830-2776,155438695,Mast cell activation disrupts interactions between endothelial cells and pericytes during early life allergic asthma,journal-article,15/03/24,Journal of Clinical Investigation,10.1172/JCI173676,https://doi.org/10.1172/JCI173676,Régis Joulia; Franz Puttur; Helen Stölting; William J. Traves; Lewis J. Entwistle; Anastasia Voitovich; Minerva Garcia Martín; May Al-Sahaf; Katie Bonner; Elizabeth Scotney; Philip L. Molyneaux; Richard J. Hewitt; Simone A. Walker; Laura Yates; Sejal Saglani; Clare M. Lloyd,29,6.756,JCI.png
0000-0002-7830-2776,117343345,Revisiting the origin of interleukin 1 in anamniotes and sub-functionalization of interleukin 1 in amniotes,journal-article,2022-08,Open Biology,10.1098/rsob.220049,https://doi.org/10.1098/rsob.220049,Eva Hasel de Carvalho; Eva Bartok; Helen Stölting; Baubak Bajoghli; Maria Leptin,1,0.0786,Open Biology.png
