Type,Date,Description,Bullets,Info,Link
Teaching and Supervision,since 2024,Day-to-day advisor to PhD student Ms Antara Ghoshal,,Supervised by A/Prof Adam Rose and Prof Ana Traven,
Teaching and Supervision,2024 and 2025,"Mentor for ""Experimental Design"" activity",,"Master of Biomedical and Health Sciences, Monash University",
Teaching and Supervision,2019-2022,Graduate Teaching Assistant,,Imperial College London,
Committees,since 2025,"Monash BDI ECR Committee  · Mentoring Subcommittee Chair (2026), Member (2025-Present)","Leading a small team to facilitate the BDI's flagship mentoring program, scaling participant intake by over 24% while overseeing mentee training and mentor orientation session to support ECR career development;Evaluated and scored competitive applications for the BDI ECR Development Prize as part of broader committee governance",,
Committees,since 2025,VIIN Emerging Leaders Committee  · Sponsoring Subcommittee (2026) & Workshops Subcommittee (2025),"Spearheaded sponsorship outreach for 2026, single-handedly securing $3,400 of the team's $6,400 total (a 570%+ increase compared to the previous year's total raised);Co-organised the successful ""How to Get a Grant"" online workshop and actively delivered core operations for the annual Young Investigator Symposium, including abstract review, presentation judging and event logistics",,
Service,11/2025,Panel Member,,"""Inspiring ECR"" panel discussion at Monash Biochemistry Student Symposium",
Service,since 2024,Presentation judge,VIIN Young Investigator Symposium 2025;Monash Biochemistry Student Symposium 2025; Monash ImmuMon 2025; VIIN Young Investigator Symposium 2024,,
Service,since 2021,Chair,"Sectional seminars and journal clubs (Inflammation, Development and Repair section, NHLI, Imperial College London) (2023);ERS Lung Science Conference session chair (2021)",,
Service,since 2019,Peer review,"Independent peer review for Nature Communications, American Journal of Respiratory and Critical Care Medicine, Microbiology Spectrum;Co-peer review for Science Immunology, Science Advances, Cell Metabolism, Mucosal Immunology",,
Service,2018-2023,Website and social media management,,"Lloyd lab, NHLI, Imperial College London",
Service,2017-2018,Course Representative,,"MSc Immunology, Imperial College London",
Public Engagement,12/2022,"""Injecting hope: the race for a COVID-19 vaccine"" Origami activity organised by British Society for Immunology",,"Science Museum Lates, London, United Kingdom",
Public Engagement,01/2020,Short profile in Breathing Together Play and Learn Activity Guide,,,http://breathingtogether.co.uk/activity-guide/
Public Engagement,10/2019,Breathing Together 'Under Fives' Training Workshop,,"Strategies for communicating science to children, London, United Kingdom",
Public Engagement,06/2019,"""WHOOSH-CRACKLE-POP!"" 0-3s Play Space hosted by Breathing Together",,"Great Exhibition Road Festival, London, United Kingdom ",
Public Engagement,04/2018,Breathing Together 0-12s Live Family Event,,"Imperial Festival, London, United Kingdom",
Society Memberships,,,German Society for Immunology (DGfI) - since 2025;Australian Society for Microbiology (ASM) - 2024-2025;Australian and New Zealand Society for Immunology (ASI) - since 2024;Victorian Infection and Immunity Network (VIIN) - since 2023;European Respiratory Society (ERS) - since 2020;British Thoracic Society (BTS) - since 2020;European Academy of Allergy and Clinical Immunology (EAACI) - since 2019;British Society for Immunology (BSI) - since 2017,,
