Date,Event,Location,Role,AdditionalNotes,Logo
09/2026,Visit to Max Planck Institute of Biochemistry,"Martinsried, Germany",Invited Speaker,"Hosted by Dr Patricia Ogger, Project Leader in the Immunoregulation group of Prof Peter Murray",MPI.jpg
09/2026,55th Annual Meeting of the German Society for Immunology (DGfI),"Munich, Germany",Poster Presentation,,DGfI.png
09/2026,EFIS-ELINE Early-Life Immunity Satellite Workshop,"Munich, Germany",Oral Presentation,,EFIS ELINE.png
09/2026,Visit to Helmholtz Munich,"Neuherberg, Germany",Invited Speaker,Hosted by Dr Caspar Ohnmacht,Helmholtz_Munich_Logo.jpg
07/2026,ASI VIC-TAS Branch Meeting 2026,"Melbourne, Australia",Oral Presentation,,ASI VIC TAS 2026.png
06/2026,"Monash Biomedicine Discovery Institute ‘Metabolism, Diabetes and Obesity Program’ Research Exchange Seminar","Melbourne, Australia",Invited Speaker,,BDI.png
02/2026,16th Lorne Infection and Immunity 2026,"Lorne, Australia",Poster Presentation,,Lorne 2026.png
11/2025,VIIN Young Investigator Symposium 2025,"Melbourne, Australia","Organising Committee, Judge",,VIIN.svg
11/2025,Monash Biochemistry Student Symposium,"Melbourne, Australia","ECR Panel Member, Judge",,BSS.png
10/2025,ASI Immunometabolism SIG Event 2025,"Melbourne, Australia",Poster Presentation,,Immunometabolism 2025.png
10/2025,Monash ImmuMon 2025 (Immunology at Monash),"Melbourne, Australia",Judge,,Immumon 2025.png
11/2024,VIIN Young Investigator Symposium,"Melbourne, Australia","Oral Presentation, Judge",,VIIN.svg
11/2024,Monash Mucosal Immunology Research Group Seminar,"Melbourne, Australia",Invited Speaker,,MIRG.png
09/2024,Biomolecular Horizons 2024,"Melbourne, Australia",Poster Presentation,Abstract published,BMH24.png
09/2024,Monash ImmuMon (Immunology at Monash),"Melbourne, Australia",Oral Presentation,,Immumon 2024.png
12/2022,BSI Congress 2022,"Liverpool, United Kingdom",Poster Presentation,Abstract published,BSI 2022.jpg
07/2022,CIPP XXI: 21st International Congress on Pediatric Pulmonology,Virtual,Invited Speaker,,CIPP XXI.png
01/2022,EAACI Immunology Winter School on Basic Immunology Research in Allergy and Clinical Immunology 2022,Virtual,Oral Presentation,Abstract published,Winter_school_logo.png
12/2021,BSI Congress 2021,"Edinburgh, United Kingdom",Poster Presentation,Abstract published,BSI 2021.png
09/2021,ERS International Congress 2021,Virtual,E-poster,Abstract published,ERS 2021.png
03/2021,ERS Lung Science Conference 2021,Virtual,"E-poster, 3 min Live Presentation, Poster Session Co-chair",Abstract published,LSC 2021.jpg
12/2020,Keystone eSymposium Asthma: New Discoveries and Therapies in the Age of COVID,Virtual,"SciTalk, Poster Presentation",Abstract published,Keystone 2021.png
01/2020,EAACI Immunology Winter School on Basic Immunology Research in Allergy and Clinical Immunology,"Chamonix, France",Poster Presentation,Abstract published,Winter_school_logo.png
12/2019,BSI Congress 2019,"Liverpool, United Kingdom",Poster Presentation,Abstract published,BSI 2019.jpg
09/2019,BSI London Immunology Group “Barrier Immunity” Meeting,"London, United Kingdom",Attendee,,LIG.jpg
12/2018,BSI London Immunology Group “Immunological Cross-Talk” Meeting,"London, United Kingdom",Poster Presentation,,LIG.jpg
12/2017,BSI Congress 2017,"Brighton, United Kingdom",Attendee,,BSI 2017.jpg
