Date,Title,Description,Type,Value,Image
08/2026,ASI Snapshot Image Competition,Primary image for ASI 'Day of Immunology 2027' marketing campaign,Competition,non-monetary,Snapshot.png
07/2026,ASI Postdoctoral Travel Award,,Travel Grant,"AUD 5,000",
02/2026,Fungal Infection Trust Geoff Scott Travel Grant,,Travel Grant,"GBP 1,200",
09/2025,"Monash Faculty of Medicine, Nursing and Health Sciences Platform Access Grant","""Using cutting edge multi-omics approaches to shed light on exacerbated fungal disease in diabetes""",Research Grant,"AUD 14,936",
11/2024,VIIN Young Investigator Symposium,Runner Up - Best Oral Presentation,Presentation Prize,AUD 200,
03/2024,2024 ICB Cover Competition for Immunology & Cell Biology,Cover of Immunology & Cell Biology since 2024,Competition,AUD 500,ICB Cover.jpg
12/2022,Imperial College Trust Conference Funding,,Travel Grant,GBP 400,
12/2022,Cayman Chemical Conference Grant,,Travel Grant,USD 250,
12/2022,BSI Congress 2022 Travel Bursary,,Travel Grant,GBP 250,
06/2022,Imperial College London Graduate School Science Writing Competition,"Joint 3rd Prize (Entry: ""If Dr. Seuss wrote my PhD"")",Competition,GBP 150,
01/2022,EAACI Winter School,Best Oral Presentation,Presentation Prize,CHF 150,
12/2021,BSI Congress 2021 Travel Bursary,,Travel Grant,GBP 250,
03/2021,ERS Lung Science Conference Bursary,Free registration,Conference Bursary,equal to EUR 89,
12/2020,Imperial College London,12-week Stipend Extension,Scholarship,"GBP 5,997",
12/2020,Keystone eSymposia Trainee Scholarship,Free registration,Conference Bursary,equal to USD 150,
12/2019,BSI Congress 2019 Travel Bursary,,Travel Grant,GBP 250,
10/2018,British Lung Foundation PhD Stipend,PhD Studentship,Scholarship,"GBP 72,428",
09/2018,MSc Immunology Dean's Prize,Best Overall Performance,Award,GBP 200,
08/2016,German Academic Exchange Service (DAAD) RISE Worldwide,"In support of a 2-month internship at Roehampton University, United Kingdom",Scholarship,"EUR 1,575",
